Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,016001,1989,10,7.2,Y
IDCJAC0001,016001,1989,11,7.0,Y
IDCJAC0001,016001,1989,12,9.6,Y
IDCJAC0001,016001,1990,01,34.6,Y
IDCJAC0001,016001,1990,02,1.8,Y
IDCJAC0001,016001,1990,03,1.0,Y
IDCJAC0001,016001,1990,04,29.2,Y
IDCJAC0001,016001,1990,05,35.2,Y
IDCJAC0001,016001,1990,06,6.6,Y
IDCJAC0001,016001,1990,07,14.8,Y
IDCJAC0001,016001,1990,08,8.0,Y
IDCJAC0001,016001,1990,09,9.2,Y
IDCJAC0001,016001,1990,10,3.6,Y
IDCJAC0001,016001,1990,11,1.4,Y
IDCJAC0001,016001,1990,12,24.6,Y
IDCJAC0001,016001,1991,01,9.4,Y
IDCJAC0001,016001,1991,02,0.2,Y
IDCJAC0001,016001,1991,03,10.4,Y
IDCJAC0001,016001,1991,04,0.2,Y
IDCJAC0001,016001,1991,05,0.4,Y
IDCJAC0001,016001,1991,06,28.0,Y
IDCJAC0001,016001,1991,07,8.4,Y
IDCJAC0001,016001,1991,08,6.0,Y
IDCJAC0001,016001,1991,09,0.4,Y
IDCJAC0001,016001,1991,10,0.0,Y
IDCJAC0001,016001,1991,11,18.8,Y
IDCJAC0001,016001,1991,12,0.2,Y
IDCJAC0001,016001,1992,01,0.4,Y
IDCJAC0001,016001,1992,02,45.6,Y
IDCJAC0001,016001,1992,03,36.4,Y
IDCJAC0001,016001,1992,04,7.6,Y
IDCJAC0001,016001,1992,05,33.6,Y
IDCJAC0001,016001,1992,06,2.4,Y
IDCJAC0001,016001,1992,07,0.0,Y
IDCJAC0001,016001,1992,08,23.0,Y
IDCJAC0001,016001,1992,09,26.8,Y
IDCJAC0001,016001,1992,10,74.4,Y
IDCJAC0001,016001,1992,11,27.2,Y
IDCJAC0001,016001,1992,12,85.6,Y
IDCJAC0001,016001,1993,01,13.8,Y
IDCJAC0001,016001,1993,02,0.0,Y
IDCJAC0001,016001,1993,03,1.8,Y
IDCJAC0001,016001,1993,04,0.2,Y
IDCJAC0001,016001,1993,05,11.2,Y
IDCJAC0001,016001,1993,06,6.2,Y
IDCJAC0001,016001,1993,07,11.6,Y
IDCJAC0001,016001,1993,08,8.2,Y
IDCJAC0001,016001,1993,09,4.6,Y
IDCJAC0001,016001,1993,10,52.8,Y
IDCJAC0001,016001,1993,11,15.0,Y
IDCJAC0001,016001,1993,12,21.8,Y
IDCJAC0001,016001,1994,01,0.6,Y
IDCJAC0001,016001,1994,02,23.8,Y
IDCJAC0001,016001,1994,03,0.0,Y
IDCJAC0001,016001,1994,04,0.2,Y
IDCJAC0001,016001,1994,05,0.0,Y
IDCJAC0001,016001,1994,06,65.2,Y
